chaika;M
chaim;M
chalmers;M
chan;M
chance;M
chancey;M
chander;M
chandler;M
chane;M
chaney;M
channing;M
chapman;M
chariot;M
charles;M
charley;M
charlie;M
charlton;M
charly;M
charálambos;M
charílaos;M
chas;M
chase;M
chaunce;M
chauncey;M
chauncy;M
chayton;M
chaz;M
che;M
chen;M
chenaniah;M
ches;M
cheslav;M
chester;M
cheston;M
chet;M
chev;M
chevalier;M
chevy;M
chi;M
chic;M
chick;M
chickie;N
chicky;N
chico;M
chilton;M
chip;M
chivas;M
chris;N
chrisovalándis;M
chrisse;M
chrissie;N
chrissy;N
christian;M
christiano;M
christie;N
christo;M
christof;M
christofer;M
christoff;M
christoffer;M
christoforo;M
christoper;M
christoph;M
christophe;M
christopher;M
christophorus;M
christos;M
christy;N
christódoulos;M
christóforos;M
chrisy;M
chrisóstomos;M
chrotoem;M
chrysanth;M
chrysostomus;M
chrísanthos;M
chrístos;M
chucho;M
chuck;M
chutikan;M
cháris;M
cicero;M
cihan;M
cillian;M
cipriano;M
ciriaco;M
cirillo;M
cirilo;M
cirino;M
ciro;M
cirstoforo;M
claas;M
claiborn;M
claiborne;M
clair;N
clarance;M
clare;N
clarence;M
clark;M
clarke;M
claude;N
claudell;M
claudian;M
claudianus;M
claudio;M
claudius;M
claus;M
claus-dieter;M
claus-peter;M
clay;M
clayborn;M
clayborne;M
claybourne;M
clayson;M
clayton;M
cleavland;M
clem;N
clemens;M
clement;M
clemente;M
clementius;M
clemmie;N
clemmy;N
cleon;M
cleopas;M
cleophas;M
clerc;M
clerkclaude;M
cletis;M
cleto;M
cletus;M
cleve;M
cleveland;M
clevey;M
clevie;M
cliff;M
clifford;M
clifton;M
clim;M
clint;M
clinton;M
clive;M
clopas;M
clovis;N
cly;M
clyde;M
clyve;M
clywd;M
clément;M
cob;M
cobb;M
cobbie;M
cobby;M
coby;M
codi;N
codie;N
cody;N
cointon;M
colan;M
colas;M
colby;M
cole;M
coleman;M
colet;M
colgan;M
colin;M
collin;M
colman;M
colombano;M
colombo;M
colon;M
colt;M
colten;M
colton;M
columbo;M
colver;M
con;N
conan;M
conant;M
conary;M
concetto;M
conn;M
connar;M
conner;M
conney;M
connie;N
connor;M
conny;N
conor;M
conrad;M
conrade;M
conradin;M
conrado;M
conradus;M
conroy;M
consalve;M
constantin;M
constantine;N
constantino;M
consuelo;N
consus;M
conway;M
coop;M
cooper;M
corban;M
corbet;M
corbett;M
corbie;M
corbin;M
corbinian;M
corby;M
corcoran;M
cord;M
cordell;M
cordie;N
cordy;N
corentin;M
corey;N
cori;N
corin;M
cormac;M
cornall;M
corneille;M
cornel;M
cornelis;M
cornelius;M
cornell;N
corney;M
cornie;N
corny;N
corrado;M
correy;N
corrie;N
cort;M
cortez;M
cortie;M
corty;M
corvin;M
corvinus;M
cory;N
cos;M
cosimo;M
coskun;M
cosmas;M
cosme;M
cosmo;M
costa;M
costante;M
costantino;M
costanzo;M
coty;M
court;M
courtland;M
courtnay;N
courtney;N
cozmo;M
craggie;M
craggy;M
craig;M
crawford;M
creigh;M
creight;M
creighton;M
crescenzo;M
crevan;M
crichton;M
cris;N
crispian;M
crispin;M
cristian;M
cristiano;M
cristobal;M
cristoforo;M
crosby;M
cross;M
cruz;M
cull;M
cullan;M
cullen;M
culley;M
cullie;M
cullin;M
cully;M
culver;M
cumin;M
curcio;M
curd;M
curdin;M
curr;M
curran;M
currey;M
currie;M
curry;M
curt;M
curtice;M
curtis;M
curtiz;M
cy;M
cynric;M
cyprian;M
cyrano;M
cyriac;M
cyriakus;M
cyril;M
cyrill;M
cyrille;M
cyrillus;M
cyron;M
cyrus;M
cyryn;M
czar;M
czeslaw;M
cäsar;M
cédric;M
césar;M
d'arcy;M
daan;M
dabir;M
dachan;M
dael;N
dag;M
dagan;M
dagny;N
dagobert;M
daichi;M
daisuke;M
dakota;N
dal;M
dale;N
daley;M
dalis;M
dall;M
dallas;N
dalli;M
dallin;M
dallis;M
dallon;M
dalston;M
dalt;M
dalton;M
daly;M
daman;M
damaskinos;M
damasus;M
dame;M
damek;M
damian;M
damiano;M
damianos;M
damianós;M
damien;M
damion;M
damir;M
damián;M
dammo;M
damokles;M
damon;M
dan;M
dana;N
dane;M
danello;M
dangelo;M
dani;N
danie;M
daniel;M
daniele;N
danilo;M
danior;M
danko;M
dankrat;M
dankwart;M
danladi;M
dannel;M
dannie;N
danny;N
dano;M
dante;M
danya;N
daquan;M
dar;M
darb;N
darbee;M
darby;N
darcy;N
dardanus;M
dare;M
daren;M
darian;M
darill;M
darin;M
dario;M
darion;M
darius;M
dariusz;M
darko;M
darn;M
darnall;M
darnell;M
daron;N
darragh;M
darrel;M
darrell;M
darren;M
darrick;M
darrin;M
darrion;M
darryl;N
dartan;M
